date,type,status,body
09/22/2025,Service or Repair Issues,UnansweredMore info,My love one calls me and the recording keeps going and hangs up when I press one to accept the call. This is my 3rd time calling about it all they say is there is a ticket in for it and it has not been revewed. Poorest service ever!
09/19/2025,Billing Issues,UnansweredMore info,06-17-2025 & 06-19-2025 I made 2 purchases 1 for inmate debit and 1 for ***** for connect. My husband was transferred of course without any knowledge for safety they cant let family know when a transfer will happen. Since he was transferred they still showed him in the system although they say they wasnt aware. They continued to collect my funds despite him not being there. I asked for a refund and they refused saying its not their fault that I put money and he wasnt there. I wonder how many others they collected funds for and never returned the funds to families or individuals.Of course they say your loved one can receive the funds back once released but if they a never get out or the release date is far way ultimately the funds will never be returned and they just committed a crime. Refund policy seems predatory. How can you say its non refundable when you know they leave or move facilities and its more than likely they move without prior notice. Its non-transferable or refund but most families dont have the funds to pay for the services and Securus aim to target the poor and incarcerated individuals.
09/18/2025,Service or Repair Issues,UnansweredMore info,"Endless issue, with message/pictures not being sent through. Calls not coming through. Calls not being connected. Wifi being dropped. We pay for all these services, we are taxed. For this service to be a major inconvenience. I worry about my fiance, and the stress he has to go through because the calls we pay for dont go through is heart breaking WHILE having to deal with prison time. Something has to be done this is unfair!"
09/15/2025,Product Issues,UnansweredMore info,I am writing to address the problem I am having with Securus. I been putting in request after request for any replacement tablet. PLEASE SEE ATTACHED LETTERS AND GREIVANCES.
09/12/2025,Service or Repair Issues,UnansweredMore info,"I, **** ******* #*******, an inmate of Farmington Correctional Center, am writing you about issues my family members are having with Securus Tech internet system, which is the only way I can get pictures and emails from them, since MO. ***** of H3336323638**38333736Hions shut down postal mail a few years ago.  My sister, ***** *******, has tried for 4 years to call Securus to get a new pin number (she forgot her original) and can never get a hold of customer ********************** and she doesn&#**;t have an email address for them to send her a new pin, but I&#**;m thinking they could send her one by U.S. mail.  I brought this up to a Securus Tech worker at Potosi Correctional Center and was told she doesn&#**;t help with those issues.  Also, my brother, ******, can&#**;t even log on to the Securus website with a working pin!  I would like greatly for your office to assist me or forward my information to the H363137**3238313831H of Dallas/N.E. Texas as your office and their office help me with getting a ""call block"" removed by Securus when my mom accidently put a block on my calls.  I will list all pertinent information on the reverse side of this letter."
09/09/2025,Service or Repair Issues,UnansweredMore info,"Securus had a DATA BREACH affecting the millions of families of incarcerated individuals and did not know. They were directly violating their privacy policy that they ensure users is in place. I had to let them know of the situation. I had to let them and Washington ********** of Corrections of the issue. I have emails showing when I sent them copies of other peoples licenses because ********************** was overwriting mine. I have copies of at least 8 peoples licenses that had been uploaded on their behalf, but showed up on my profile. I can attest from at least Aug 5-14, 2025 I know for a fact the breach was occurring. Im sure they do not know how long it was occurring prior to me notifying them of this. I was contacting them and could not get them or DOC to listen to me. They make it so difficult to contact a human person, or to find how to contact anyone, which prolonged it even further. To date, no communication has went out, and they have not identified where my licenses are. I had 3 versions of my license on their app my maiden name which had been uploaded for almost a year, my temp license with my married name (how I found the breach in the first place), and my official license with married name. They still havent contacted me to identify where my information is. I know they were in contact with DOC as I spoke to someone in IT there who also advised that Securus came down to review it. Since then, theyre now retaliating against me and the state has placed me on a 30 day visit restriction which was due to Securus reporting me for an incident that occurred 30+ days prior to the violation. Again, Securus has not notified the community the uses the app and has not located my license. So someone may be able to log in and see my personal information like I have others. Multiple attempt to contact them have gone with no reply."
09/07/2025,Service or Repair Issues,UnansweredMore info,So recently I started getting these spam calls from the ************* Jail and I kind of have been noticing that when my husband calls from the ****************** the calls don't stay connected very well and they disconnect and keep running our time like eating our money up I called securus to find out who or how to block the spam call and they told me there was nothing I could do without blocking the entire facility this man sexually harasses me tells me he wants to be with me wants to do things to me but I can tell it's a spam call because it doesn't say press one and it auto connects I have wasted a lot of money on my calls that don't stay connected and secures won't do anything
09/05/2025,Customer Service Issues,UnansweredMore info,Securus Technologies ******* refused to provide me with a receipt for what I paid in August 2025. I request a receipt for what I paid.
08/30/2025,Customer Service Issues,UnansweredMore info,"This business has absolutely no Customer Support, or at least none of that is competent. Being a tech technologies company you would think that their technology would work. Their website  a joke. Theres no way to change phone numbers, and the entire data infrastructure is out of date. There are millions of dollars that are made every year off of inmates and their calls not including the commissary that they take care ofits pathetic that theyre allowed to **** the American public and the less fortunate that are incarcerated the way that they are."
08/27/2025,Service or Repair Issues,UnansweredMore info,There is always a problem trying to log in to my account. The website and app are full of bugs that need to be fixed.I will purchase items to communicate with my loved one who is incarcerated and they steal money without proving me with what I paid for and also prevent me from getting in to my account daily for hours on end. There is always an outage on the app and wesbite.
08/25/2025,Billing Issues,UnansweredMore info,"I can't contact my son because they won't let me use their business, but their business is the only available one. They double charged me for their services, so I disputed and because of that, I am banned for life using any of my credit cards. They have a monopoly on email messages. Is this legal?"
08/22/2025,Billing Issues,UnansweredMore info,Securus Technologies billing fraudulent charges for calls. Ive never used their services nor do I recognize any numbers listed. Calls listed are 7/28-7/29/2025 There was fraud report with my credit card with charges from this business.
08/21/2025,Service or Repair Issues,UnansweredMore info,This company provides tablets to inmates that offers a text and email service thru an app where they charge an exhorbitant amount of money for and it does not work! The app frequently shuts down and has connection issues and does not deliver emails or messages.
08/20/2025,Customer Service Issues,UnansweredMore info,I accidentally pressed the wrong button and restricted inmate phone calls. Every time I call securus I absolutely can not reach anyone! It's been incredibly frustrating when the automated telephone service hangs up on me when it says it will connect me with help. I also haven't been able to even register an account. I need help for multiple things and can not find a way to get in contact with a human to resolve these issues.
08/07/2025,Service or Repair Issues,UnansweredMore info,"Securus text connect has been down completely since 8/1/25 today being 8/7/25.  There is no indication that the system is down and when you try to contact securus via phone there is no option to speak to anyone about the text connect system only their phone lines.  I went through that route and was advised that that is correct the only option was to call them about phone lines.  I was redirected to wait on a supervisor but none was available but said I would get a call back.  That was on 8/4/25 Monday and I have yet to receive a call.  I also sent an email complaint as well on that day and today with only an acknowledgement (automated) that the complaint was received but no response.This is the only way I have of communicating with my husband instantly.  It is labeled as ""real-time chat."" It costs money per text from me and him and there is a limitation of characters in text.  I believe we should be notified when the system is down and refunded for texts that are sent when the system is down.  This causes unnecessary stress.We are paying for a service that is completely down right now since at least Friday and has been intermittent. This is the only form of somewhat instant communication we have with our loved ones so when it is down we are stuck. It causes frustration when we don't know that it is down or like it has been for weeks delayed because either we or our loved ones think something is wrong becoming worried or we spend additional money sending texts back and forth saying things like ""did you get my last text or is that ok,etc."" There is no sense of urgency when the system is down or slow to make corrections and no communication to those of us paying for the service that it is down or how long to expect it to be down. I can't call my husband if something is going on with the kids or they want their dad to call so we rely on messages to say ""hey can you please call when you are able or what do you think about this, etc.""I am very frustrated."
